""	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"
"AFFX-BioDn-3_at"	"2.29885307640971"	"2"	"2"	"2.19865708695442"	"2"	"2"	"2.11727129565576"	"2"	"2"	"2.51587384371168"	"2"	"2"	"2"	"2"	"2"	"2.35793484700045"	"2"	"2"	"2"	"2.51321760006794"	"2"	"2"	"2"	"2"	"2"	"2"	"2.62221402296630"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.51054501020661"	"2"	"2"	"2"
"AFFX-BioB-5_st"	"2.31386722036915"	"2"	"2"	"2"	"2.40140054078154"	"2.28555730900777"	"2"	"2"	"2.7041505168398"	"2.26245108973043"	"2.54406804435028"	"2"	"2.36172783601759"	"2.05307844348342"	"2"	"2"	"2.23804610312880"	"2"	"2"	"2.67117284271508"	"2"	"2"	"2"	"2"	"2"	"2"	"2.54406804435028"	"2"	"2.39269695325967"	"2"	"2.55388302664387"	"2.74896286125616"	"2"	"2.71933128698373"	"2.22271647114758"	"2"	"2.24551266781415"	"2.50650503240487"
"AFFX-HUMISGF3A/M97935_MA_at"	"2"	"2"	"2.01703333929878"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.77378644498119"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.33445375115093"	"3.10957854690439"	"2.31597034545692"	"2"	"2"	"2"	"2"	"2"	"3.30168094929358"
"AFFX-HUMISGF3A/M97935_MB_at"	"2.33243845991561"	"2.06445798922692"	"2.67760695272049"	"2.19033169817029"	"2.08635983067475"	"2.24551266781415"	"2"	"2.40993312333129"	"2.22010808804006"	"2.19033169817029"	"2"	"2"	"2.30535136944662"	"2.26717172840301"	"2.88986172125819"	"2.05690485133647"	"2.42324587393681"	"2"	"2.10037054511756"	"2.65127801399814"	"2"	"2"	"2"	"2.16731733474818"	"2.28103336724773"	"2"	"2"	"2.26007138798507"	"2"	"2.35602585719312"	"2.90848501887865"	"2.41497334797082"	"2.12057393120585"	"2"	"2.13033376849501"	"2"	"2.0899051114394"	"3.23929947912689"
"AFFX-HUMISGF3A/M97935_3_at"	"2.90145832139611"	"2.63648789635337"	"3.16849748352303"	"2.61804809671209"	"2.68394713075151"	"2.61489721603313"	"2.58319877396862"	"2.76342799356294"	"2.87621784059164"	"2.78247262416629"	"2.42488163663107"	"2.18184358794477"	"2.89097959698969"	"3.17318626841227"	"3.22530928172586"	"2.79865064544527"	"2.90794852161227"	"2.71933128698373"	"2.56820172406700"	"3.45055700941833"	"2.60638136511061"	"2.1846914308176"	"2.77378644498119"	"2.81888541459401"	"2.8767949762007"	"2.69460519893357"	"2.70156798505593"	"2.57749179983723"	"2.5705429398819"	"2.85853719756964"	"3.13924921757161"	"2.85733249643127"	"2.8109042806687"	"2.30535136944662"	"2.62634036737504"	"2.46982201597816"	"2.72591163229505"	"3.60151678365001"
"AFFX-HUMRGE/M10098_5_at"	"4.16250466452115"	"2.78887511577542"	"3.75350645699097"	"3.68574173860226"	"3.10856502373283"	"3.617838747717"	"4.20411998265593"	"3.59483435558332"	"4.11411035653189"	"2"	"2.89817648349768"	"3.91902576458736"	"2"	"2.95999483832842"	"3.83250891270624"	"2"	"2"	"2.92012332629072"	"2"	"2"	"2"	"4.20411998265593"	"4.20411998265593"	"2"	"3.6953065224318"	"2"	"3.90053098245276"	"2.70243053644553"	"3.33665982345442"	"2.76342799356294"	"3.33905373570914"	"2.91328390176042"	"3.02734960777476"	"2.64542226934909"	"2"	"3.95626450269828"	"3.71591981743358"	"3.09864372581706"
"AFFX-HUMRGE/M10098_M_at"	"3.98846977020988"	"2.06069784035361"	"3.51481329499929"	"3.36040405472994"	"3.43632170013973"	"3.43822580760453"	"4.04261488458852"	"3.18977095634687"	"3.86165387021391"	"2"	"2.08635983067475"	"3.62366270735620"	"2"	"2.76566855475901"	"3.84173477897474"	"2"	"2"	"2.9698816437465"	"2"	"2"	"2"	"4.12645611343180"	"4.20411998265593"	"2"	"3.42586014507784"	"2"	"3.60249406880728"	"2"	"3.24353410183206"	"2.11394335230684"	"3.19395897801919"	"2.71011736511182"	"2.69722934275972"	"2"	"2"	"3.58568627845250"	"3.27160930137883"	"2"
"AFFX-HUMRGE/M10098_3_at"	"3.9308981144101"	"3.18127177155946"	"3.56442932699798"	"3.40976410426635"	"2.49968708261840"	"3.3809344633307"	"4.20411998265593"	"3.11360915107303"	"4.14423161809055"	"2"	"3.19117145572856"	"3.72843495097425"	"2"	"3.28239550474253"	"3.43775056282039"	"2"	"2"	"2.43616264704076"	"2"	"2"	"2"	"4.00307259596767"	"3.76974646717945"	"2"	"3.63316535368390"	"2"	"3.41229250932305"	"2.05690485133647"	"2.95616843047536"	"2"	"2.93951925261862"	"3.28735377271475"	"3.30941722577814"	"2"	"2"	"3.45591024038274"	"3.13513265137677"	"2.47712125471966"
"AFFX-HUMGAPDH/M33197_5_at"	"4.17828612877757"	"4.20411998265593"	"4.20411998265593"	"4.17376882313665"	"4.16592654960910"	"4.20411998265593"	"4.06464514479194"	"3.9129656207041"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.04395141826328"	"4.20411998265593"	"4.20411998265593"	"4.03402652377511"	"4.20411998265593"	"4.20411998265593"	"4.09697949456679"	"4.10383791602561"	"2.27415784926368"	"4.14085358132272"	"4.20411998265593"	"4.05419157679643"	"4.20411998265593"	"3.81157500587059"	"3.9914475980038"	"4.20411998265593"	"4.02918078890755"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.16749456163572"	"4.20411998265593"	"4.20411998265593"	"4.19021960771105"	"4.20411998265593"
"AFFX-HUMGAPDH/M33197_M_at"	"4.04633905560481"	"4.13251583491264"	"4.20411998265593"	"4.05838805999333"	"4.17695898058691"	"4.20411998265593"	"4.0836817472743"	"3.62065647981962"	"4.19161866336947"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.0265332645233"	"4.06729408631598"	"4.14952701375435"	"4.11451090484887"	"4.11417714024445"	"4.20411998265593"	"4.15017289639313"	"4.02497797209563"	"2"	"4.05192391604611"	"4.20411998265593"	"4.01279505814541"	"4.20330491613848"	"3.92324401863028"	"3.86492619153901"	"4.14179456352366"	"3.85144181467206"	"4.20411998265593"	"4.17727671125859"	"4.17704565746214"	"4.09527398809818"	"4.20411998265593"	"4.15320490008428"	"4.19440332591001"	"4.08228258991244"	"4.13408143746251"
"AFFX-HSAC07/X00351_5_at"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.1978316933289"	"4.20411998265593"	"4.20411998265593"	"4.13277182930962"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.0668475109739"	"4.16396598295488"	"4.20411998265593"	"4.20411998265593"	"4.1507257465862"	"4.17603334926402"	"4.20411998265593"	"3.985426474083"	"4.01998815959128"	"2.75587485567249"	"3.93389203576421"	"4.20411998265593"	"4.05288623525638"	"3.92921450373739"	"3.87961190706585"	"4.08195906630048"	"4.10363270520974"	"3.98353608160299"	"4.20411998265593"	"4.20411998265593"	"4.16622283457208"	"4.1960655931163"	"3.92665107708889"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"
"AFFX-HSAC07/X00351_M_at"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.17481545648218"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.12894825240933"	"4.20411998265593"	"2"	"4.04418685076736"	"4.20411998265593"	"4.20411998265593"	"4.11327469246435"	"4.17400162640242"	"4.20411998265593"	"4.19173039336286"	"4.11397675828985"	"4.20411998265593"	"4.20411998265593"	"4.18258582545729"	"4.20411998265593"	"4.09628417824486"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"
"AFFX-HUMTFRR/M11507_5_at"	"2.42160392686983"	"2.71011736511182"	"2.78461729263288"	"2.26245108973043"	"2.46389298898591"	"2.38916608436453"	"2.23299611039215"	"2.68752896121463"	"2.56937390961505"	"2"	"2.42160392686983"	"2.37474834601010"	"2.26481782300954"	"2.20139712432045"	"2.23804610312880"	"2.12710479836481"	"2.69019608002851"	"2.48287358360875"	"2.21218760440396"	"2.46834733041216"	"2"	"2.45484486000851"	"2.53147891704226"	"2.39619934709574"	"2.51321760006794"	"2.23552844690755"	"2.17897694729317"	"2.53402610605613"	"2.63548374681491"	"2.42975228000241"	"2.90687353472207"	"3.20601587676334"	"2.84571801796666"	"2.74741180788642"	"2.61172330800734"	"2.53147891704226"	"2.59988307207369"	"2.87563993700417"
"AFFX-HUMTFRR/M11507_M_at"	"2"	"2.1846914308176"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.22010808804006"	"2"	"2"	"2.16731733474818"	"2"	"2"	"2"	"2"	"2.34242268082221"	"2"	"2"	"2"	"2.40993312333129"	"2"	"2.85913829729453"	"3.05192391604611"	"2.63042787502502"	"2.57403126772772"	"2"	"2"	"2"	"2.69372694892365"
"AFFX-HUMTFRR/M11507_3_at"	"2.47421626407626"	"2.45484486000851"	"2.2718416065365"	"2.41497334797082"	"2.45788189673399"	"2.34635297445064"	"2.14921911265538"	"2.06069784035361"	"2.50920252233110"	"2.50514997831991"	"2.32014628611105"	"2.29003461136252"	"2.21748394421391"	"2.61909333062674"	"2.45178643552429"	"2.1846914308176"	"2.45484486000851"	"2.67760695272049"	"2.18752072083646"	"2.42160392686983"	"2.26481782300954"	"2.2148438480477"	"2.30749603791321"	"2"	"2.78532983501077"	"2.19865708695442"	"2.30319605742049"	"2.56466606425209"	"2.51982799377572"	"2.46538285144842"	"3.23350376034113"	"3.48158593636762"	"2.85913829729453"	"2.90955602924118"	"2.63848925695464"	"2.5327543789925"	"2.50785587169583"	"3.16849748352303"
"AFFX-M27830_5_at"	"3.82930377283102"	"3.34537373055909"	"3.52179164963912"	"3.4854374810763"	"3.05307844348342"	"3.59173223895184"	"3.88991768343621"	"3.63113925025681"	"3.78632543439007"	"2"	"3.18497519069826"	"3.62726341656822"	"2"	"2.79795964373720"	"3.44294986957786"	"2.09342168516224"	"2"	"3.42845877351558"	"2.16136800223497"	"2.50242711998443"	"2"	"3.87610232137779"	"3.87233112123025"	"2.38916608436453"	"3.95832493164405"	"2.50785587169583"	"3.67033864112744"	"2.74896286125616"	"3.23879856271392"	"2.8561244442423"	"3.21351775699631"	"3.59615708091617"	"3.23299611039215"	"2.42975228000241"	"2.32014628611105"	"3.58871977960006"	"3.32489949705231"	"2.93951925261862"
"AFFX-M27830_M_at"	"3.81683763090204"	"3.58251788360406"	"3.52491514753987"	"3.38774565960886"	"3.02366391819779"	"3.65609820201283"	"3.40346370134532"	"3.65724712988372"	"3.5928426831311"	"2.72591163229505"	"3.54875782857370"	"3.81947812836212"	"2.95036485437612"	"3.24895361549571"	"3.55485243437205"	"3.04375512696868"	"2.95520653754194"	"3.78774377164647"	"2.99387691494121"	"2.95999483832842"	"3.10140335055533"	"3.91576906598368"	"4.01749244647727"	"3.02938377768521"	"3.98641340546547"	"3.37419825792908"	"3.56726169235387"	"3.35102285258412"	"3.54170402328429"	"3.37493155397819"	"3.63032615480395"	"3.8278214276828"	"3.4222614508136"	"2.98900461569854"	"3.29424571613812"	"3.70876072369032"	"3.48798633112939"	"3.20844135643857"
"AFFX-M27830_3_at"	"3.06595298031387"	"2.81624129999178"	"2.96707973414450"	"2.72181061521255"	"2.65127801399814"	"2.44247976906445"	"2.86628733908419"	"3.02816441942447"	"2.86805636182304"	"2.88874096068289"	"2.88817949391833"	"2.55630250076729"	"2.55388302664387"	"2.94051648493257"	"2.55990662503611"	"2.9903388547876"	"3.13987908640124"	"2.86628733908419"	"2.90741136077459"	"2.92012332629072"	"2.86923171973098"	"2.80071707828239"	"2.56820172406700"	"2.94001815500766"	"3.07627625540422"	"2.90308998699194"	"2.71767050300226"	"3.05192391604611"	"3.01953168453126"	"3.00302947055362"	"3.00130093302042"	"2.67669360962487"	"3.06966809691160"	"2.44247976906445"	"2.60745502321467"	"2.63245729218472"	"2.97358962342726"	"3.23451728351269"
