""	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"
"AFFX-BioDn-3_at"	"2"	"2.56466606425209"	"2"	"2"	"2"	"2.85064623518307"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.14921911265538"	"2"	"2"	"2.55750720190566"	"2.23552844690755"	"2.55388302664387"	"2.61172330800734"	"2"	"2"	"2"	"2"	"2"	"2"	"2.38381536598043"	"2.37291200297011"	"2"	"2"	"2"	"2"	"2"
"AFFX-BioB-5_st"	"2"	"2.20951501454263"	"2.69897000433602"	"2"	"2.20139712432045"	"2"	"2"	"2"	"2"	"2"	"2"	"2.50514997831991"	"2.17318626841227"	"2.5327543789925"	"2.94349451590610"	"2"	"2.31806333496276"	"2.01703333929878"	"2.19589965240923"	"2.16731733474818"	"2.44870631990508"	"2"	"2.48713837547719"	"2"	"2"	"2"	"2.40312052117582"	"2.25285303097989"	"2.30749603791321"	"2"	"2"	"2"	"2.19589965240923"	"2"
"AFFX-HUMISGF3A/M97935_MA_at"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.12710479836481"	"2"	"2"	"2"	"2"	"2.78318869107526"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.11394335230684"	"2.21218760440396"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
"AFFX-HUMISGF3A/M97935_MB_at"	"2.13033376849501"	"2"	"2.28780172993023"	"2.30749603791321"	"2"	"2"	"2"	"2"	"2.10037054511756"	"2"	"2.23804610312880"	"2.16435285578444"	"2.13353890837022"	"2"	"2.26717172840301"	"2.76492298464989"	"2.36361197989214"	"2"	"2"	"2"	"2"	"2.54282542695918"	"2.15836249209525"	"2.22010808804006"	"2.32221929473392"	"2"	"2.33445375115093"	"2"	"2"	"2"	"2"	"2.26245108973043"	"2"	"2.05307844348342"
"AFFX-HUMISGF3A/M97935_3_at"	"2.42651126136458"	"2.57170883180869"	"2.72591163229505"	"3.16613397030511"	"2.81291335664286"	"2.81424759573192"	"2.21748394421391"	"2.51982799377572"	"2.50650503240487"	"2.5327543789925"	"2.49968708261840"	"2.45636603312904"	"2.74507479158206"	"2.50242711998443"	"2.84135947045485"	"3.17955179116519"	"2.98272338766855"	"2.13672056715641"	"2.81557774832427"	"2.20411998265592"	"2.40312052117582"	"2.89707700320942"	"2.48995847942483"	"2.67024585307412"	"2.87909587950007"	"2.49968708261840"	"2.75891189239797"	"2.57634135020579"	"2.54777470538782"	"2.42160392686983"	"2.48572142648158"	"2.81756536955978"	"2.67851837904011"	"3.11826472608948"
"AFFX-HUMRGE/M10098_5_at"	"2"	"2"	"2"	"2"	"3.16226561429802"	"4.01321653962444"	"2.01703333929878"	"2.48713837547719"	"2.34830486304816"	"2"	"2.46389298898591"	"3.9231403560252"	"2"	"2"	"2"	"2"	"2.02530586526477"	"2"	"2"	"2"	"2"	"3.14488541828714"	"3.28194193344082"	"2"	"2"	"2"	"2"	"2"	"2"	"2.01703333929878"	"2.75511226639507"	"3.57541879121436"	"2"	"2"
"AFFX-HUMRGE/M10098_M_at"	"2"	"2"	"2"	"2"	"2.80071707828239"	"3.78017324364259"	"2"	"2"	"2"	"2"	"2"	"3.62797998982998"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.85003325768977"	"2.32428245529769"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.67942789661212"	"3.33525725643453"	"2"	"2"
"AFFX-HUMRGE/M10098_3_at"	"2"	"2"	"2"	"2"	"2.55870857053317"	"3.580468783951"	"2"	"2"	"2.40483371661994"	"2"	"2.51454775266029"	"3.83461142072269"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"3.04099769242349"	"2.69196510276736"	"2"	"2"	"2"	"2"	"2"	"2"	"2.07918124604762"	"2.11394335230684"	"3.03181227133037"	"2"	"2"
"AFFX-HUMGAPDH/M33197_5_at"	"3.80202075177198"	"4.03165079355126"	"4.18861916720785"	"3.88986172125819"	"4.16554107672237"	"4.00402027325324"	"4.00736365431228"	"4.09652766560644"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.07103467505415"	"3.80154090619032"	"3.88428546233968"	"4.20411998265593"	"4.20411998265593"	"4.04805317311561"	"4.10016368896604"	"3.94299959336604"	"3.99387691494121"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.05907091309298"	"4.18403807862689"	"4.09061070782841"	"4.17840134153376"	"4.14863349848935"	"4.01051196273721"	"3.8252313231999"	"4.07754958045179"	"3.92402070047407"	"3.83777776955373"
"AFFX-HUMGAPDH/M33197_M_at"	"3.71591981743358"	"4.00889811477094"	"4.15670055258202"	"3.98145616652213"	"4.02836788369706"	"4.0054808099794"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.1702323701818"	"4.20411998265593"	"4.11431067686842"	"3.77121990194953"	"3.91323087111356"	"4.19315243685208"	"4.14251460499937"	"4.13430463495454"	"4.15917603179347"	"3.9006947744524"	"4.09177244141968"	"4.1956782994575"	"4.15430221968466"	"4.20411998265593"	"4.14634512865047"	"4.19578899003587"	"4.20411998265593"	"4.1751927883866"	"4.20411998265593"	"4.16920403652362"	"4.17516377449195"	"3.9829492885745"	"4.06851980600091"	"3.73303668293358"	"3.98757689472699"
"AFFX-HSAC07/X00351_5_at"	"4.20411998265593"	"3.99374475655446"	"4.18647603055406"	"3.83619748077893"	"4.06580371257502"	"4.20411998265593"	"3.99572292199547"	"4.12414542506165"	"4.20411998265593"	"4.03185263139563"	"4.17388524036879"	"4.17963795215781"	"4.20411998265593"	"4.00294320687633"	"4.12185518216686"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"3.90960951049017"	"4.08564728829686"	"3.51719589794997"	"4.20411998265593"	"4.09774305894488"	"4.20411998265593"	"4.20411998265593"	"4.17666993266815"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"3.91248776133232"	"4.01152815385754"	"4.20411998265593"	"3.99716787144583"	"4.05311687492293"
"AFFX-HSAC07/X00351_M_at"	"4.20411998265593"	"4.12290364917332"	"4.20411998265593"	"4.0972920240919"	"4.16843855218677"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.18808437371494"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20363112633051"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.12198637905084"	"4.14242075421956"	"3.80393484986384"	"4.20411998265593"	"4.17658318076549"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.20411998265593"	"4.19301322651595"	"4.20411998265593"	"4.06770304404006"	"4.20411998265593"
"AFFX-HUMTFRR/M11507_5_at"	"2.17318626841227"	"2.33845649360460"	"2.69635638873333"	"2.40483371661994"	"2.33645973384853"	"2.56348108539441"	"2.20139712432045"	"2.83058866868514"	"2.07188200730613"	"2.14612803567824"	"2"	"2.18752072083646"	"2.25285303097989"	"2.36361197989214"	"2.38560627359831"	"2.29446622616159"	"2.42651126136458"	"2.18184358794477"	"2.48572142648158"	"2.01703333929878"	"2.14301480025410"	"2.6170003411209"	"2.67209785793572"	"2.56110138364906"	"2.25285303097989"	"2.14301480025410"	"2.35218251811136"	"2.32221929473392"	"2.49692964807321"	"2.33243845991561"	"2"	"2.48000694295715"	"2.62838893005031"	"2.53402610605613"
"AFFX-HUMTFRR/M11507_M_at"	"2"	"2"	"2.60097289568675"	"2"	"2"	"2"	"2"	"2.67486114073781"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.6954816764902"	"2.52504480703685"	"2.20951501454263"	"2"	"2"	"2"	"2"	"2"	"2"	"2.07554696139253"	"2"	"2"	"2"
"AFFX-HUMTFRR/M11507_3_at"	"2.35983548233989"	"2"	"2.93399316383124"	"2.33445375115093"	"2.34635297445064"	"2.13987908640124"	"2"	"2.90036712865647"	"2"	"2"	"2.19033169817029"	"2.11058971029925"	"2.48429983934679"	"2.33845649360460"	"2.16435285578444"	"2.36735592102602"	"2.64542226934909"	"2.41830129131975"	"2.40483371661994"	"2"	"2"	"2.98811284026835"	"2.88761730033574"	"2.85369821177617"	"2.33445375115093"	"2"	"2.69108149212297"	"2.29225607135648"	"2.48429983934679"	"2.18184358794477"	"2.23804610312880"	"2.33041377334919"	"2.37657695705651"	"2"
